ram console header, hw_status: 2, fiq step 0.
bin log 0.

[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]Get MD inf from META
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]md_inf[0]=0
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]md_inf[1]=0
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]md_inf[2]=0
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]md_inf[3]=0
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][memblock]arm_dt_memblock_reserve: 0x4e000000 - 0x4e007212 (0x00007213)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]mtk_wcn_consys_memory_reserve   :   0x7f200000 - 0x7f2fffff (0x00100000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][WMT-CONSYS-HW][I]mtk_wcn_consys_memory_reserve:memblock done: 0x7f200000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][memblock]mt_reserve: 0x43f00000 - 0x43f0ffff (0x00010000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][memblock]mt_reserve: 0x43ff0000 - 0x43ffdfff (0x0000e000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_ENABLE_MD1 -> 00000001
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_ENABLE_MD2 -> 00000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_ENABLE_MD3 not found
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_ENABLE_MD5 -> 00000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_MD1_SUPPORT -> 00000005
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_MD2_SUPPORT -> 00000001
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_MD3_SUPPORT -> 00000003
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_MD5_SUPPORT -> 00000003
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MD1_SIZE -> 04000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MD2_SIZE -> 01000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MD3_SIZE -> 00000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MD3_SMEM_SIZE -> 00000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]ccci_md_mem_reserve   :   0x7a000000 - 0x7e1fffff (0x04200000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]META MD setting not found [0][0]
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]kernel   :   0x40000000 - 0x79ffffff (0x3a000000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]creating mapping start pa: 0x40000000 @ 0xc0000000 , end pa: 0x60000000 @ 0xe0000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]kernel   :   0x7e200000 - 0x7f1fffff (0x01000000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]kernel   :   0x7f300000 - 0x7f4bffff (0x001c0000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]@@@### num_possible_cpus(): 4 ###@@@
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]@@@### num_present_cpus(): 1 ###@@@
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]unified LK bootcmd lge.rev setup: rev_10
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]unified LK bootcmd lge.cable: 400MA
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper/0]arch_timer_init: arch_timer_rate(0xc65d40), PHYS_SECURE_PPI=29, PHYS_NONSECURE_PPI=30, VIRT_PPI=27, HYP_PPI=26, 
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper/0]arch_timer_register: arch_timer_rate(0xc65d40), arch_timer_use_virtual=0 
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper/0]arch_timer_register: request_percpu_irq PHYS_SECURE_PPI err=0 
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper/0]arch_timer_register: request_percpu_irq PHYS_NONSECURE_PPI err=0 
[    1.125730 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: f->dev_name = f_rndis, f->name = rndis
[    1.125761 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: init rndis success!!
[    1.125780 / 01-01 00:00:01.120]  (3)[1:swapper/0][XLOG_INFO][USB]android_init_functions: f->dev_name = f_mass_storage, f->name = mass_storage
[    1.125943 / 01-01 00:00:01.120]  (2)[1:swapper/0][XLOG_INFO][USB]android_init_functions: init mass_storage success!!
[    1.125958 / 01-01 00:00:01.120]  (2)[1:swapper/0][XLOG_INFO][USB]android_init_functions: f->dev_name = f_charge_only, f->name = charge_only
[    1.125990 / 01-01 00:00:01.120]  (2)[1:swapper/0][XLOG_INFO][USB]android_init_functions: init charge_only success!!
[    1.126001 / 01-01 00:00:01.120]  (2)[1:swapper/0][XLOG_INFO][USB]android_init_functions: f->dev_name = f_accessory, f->name = accessory
[    1.126054 / 01-01 00:00:01.120]  (2)[1:swapper/0][XLOG_INFO][USB]android_init_functions: init accessory success!!
[    1.126066 / 01-01 00:00:01.120]  (2)[1:swapper/0][XLOG_INFO][USB]android_init_functions: f->dev_name = f_cdrom_storage, f->name = cdrom_storage
[    1.126230 / 01-01 00:00:01.120]  (1)[1:swapper/0][XLOG_INFO][USB]android_init_functions: init cdrom_storage success!!
[    1.126245 / 01-01 00:00:01.120]  (1)[1:swapper/0][XLOG_INFO][USB]android_init_functions: f->dev_name = f_audio_source, f->name = audio_source
[    1.126275 / 01-01 00:00:01.120]  (1)[1:swapper/0][XLOG_INFO][USB]android_init_functions: init audio_source success!!
[    1.127348 / 09-28 07:36:22.500]  (0)[1:swapper/0]BOOTPROF:      1127.343999:Kernel_init_done
[    1.613410 / 09-28 07:36:22.980]  (1)[118:bat_thread_kthr]LGE charging scenario : Change state 0 -> 0(0-1), temp=30, volt=4044, BTM=0, charger=1
[    1.787573 / 09-28 07:36:23.150]  (0)[1:init]init: USB-SET: persist.sys.usb.config(adb)
[    1.992411 / 09-28 07:36:23.360]  (1)[118:bat_thread_kthr]LGE charging scenario : Change state 0 -> 0(0-0), temp=30, volt=4078, BTM=0, charger=1
[    2.001093 / 09-28 07:36:23.360]  (0)[1:init]init: /dev/hw_random not found
[    2.002459 / 09-28 07:36:23.370]  (0)[1:init]init: [get_was_hidden_reset] set ro.lge.hiddenreset 0 --->
[    2.002548 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : _SetUAPartitionTable in 
[    2.002566 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.002583 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : _SetUAPartitionTable : 7, LK, 6100000, 10, 80000
[    2.002600 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.002616 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.002633 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : _SetUAPartitionTable : 8, BOOTIMG, 7200000, c0010, 1000000
[    2.002649 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.002665 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.002682 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : _SetUAPartitionTable : 10, RECOVERY, 8200000, 1100010, 1000000
[    2.002698 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.002714 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.002731 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : _SetUAPartitionTable : 11, LAF, 6200000, 2140010, 1000000
[    2.002747 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.002763 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.002780 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : _SetUAPartitionTable : 12, FACTORY, 17c80000, 3180010, 1b80000
[    2.002797 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.002813 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.002829 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : _SetUAPartitionTable : 13, LOGO, 9880000, 4d40010, 800000
[    2.002846 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.002862 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.002879 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : _SetUAPartitionTable : 16, __NODL_LGFOTA, db80000, 5580010, a00000
[    2.002895 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.002912 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.002929 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : _SetUAPartitionTable : 17, UBOOTBAK, 6180000, 5fc0010, 80000
[    2.002945 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.002961 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.002978 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : _SetUAPartitionTable : 18, LO_BAK_GO, a080000, 6080010, 800000
[    2.002994 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : --------------------------------------------------------
[    2.003010 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : _Initialize : 5580010, 55e0010
[    2.003030 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : IStorageFlash_Open in 
[    2.003084 / 09-28 07:36:23.370]  (0)[1:init][FOTA] : IStoragePart_GetPhysicalAddress : uiLogical - 05580010
[    2.003875 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : IStorageFlash_ReadData64 : Address - db80000, uiRet - 200
[    2.003895 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : enUpdateState                : 0x0f07a105
[    2.003912 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.enState             : 0x0f07a205
[    2.003927 / 09-28 07:36:23.370]  (2)[1:init][FO2:kthreadd] fork [kgOffset[0]     : 0x000dfc58
[    2.003952 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgSize[0]       : 0x00000000
[    2.003967 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgOffset[1]     : 0x000dfc58
[    2.003983 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgSize[1]       : 0x00000000
[    2.003998 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgOffset[2]     : 0x000dfc58
[    2.004014 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgSize[2]       : 0x00000000
[    2.004029 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgOffset[3]     : 0x000dfc58
[    2.004044 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgSize[3]       : 0x00000000
[    2.004059 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgOffset[4]     : 0x000dfc58
[    2.004075 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgSize[4]       : 0x00000000
[    2.004090 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgOffset[5]     : 0x000dfc58
[    2.004105 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgSize[5]       : 0x00000000
[    2.004120 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgOffset[6]     : 0x000dfc58
[    2.004135 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgSize[6]       : 0x00000000
[    2.004151 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgOffset[7]     : 0x000dfc58
[    2.004166 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgSize[7]       : 0x0000013c
[    2.004181 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgOffset[8]     : 0x000dfd94
[    2.004196 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgSize[8]       : 0x0005ea17
[    2.004212 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgOffset[9]     : 0x0013e7ab
[    2.004227 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgSize[9]       : 0x00019151
[    2.004243 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgOffset[10]     : 0x001578fc
[    2.004258 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgSize[10]       : 0x000603f9
[    2.004274 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgOffset[11]     : 0x001b7cf5
[    2.004289 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgSize[11]       : 0x00062604
[    2.004305 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgOffset[12]     : 0x0021a2f9
[    2.004320 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgSize[12]       : 0x0005f08b
[    2.004336 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgOffset[13]     : 0x00279384
[    2.004351 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgSize[13]       : 0x0000014c
[    2.004367 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgOffset[14]     : 0x002794d0
[    2.004382 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgSize[14]       : 0x00000000
[    2.004398 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgOffset[15]     : 0x002794d0
[    2.004413 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiPkgSize[15]       : 0x00000000
[    2.004428 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiCurrSection       : 0x00000020
[    2.004443 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFWInfo.uiResult            : 0x00000000
[    2.004458 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFSInfo.enState             : 0x0f07a302
[    2.004473 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFSInfo.uiFilePackageOffset : 0x0004ffac
[    2.004488 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFSInfo.uiFilePackageSize   : 0x0004ffcc
[    2.004503 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stFSInfo.uiResult            : 0x00000000
[    2.004519 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stPkgInfo.enPackageType      : 0x3f800300
[    2.004534 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stPkgInfo.uiSize             : 0x017f137c
[    2.004549 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stPkgInfo.uiWrittenAddr      : 0x00000000
[    2.004564 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stPkgInfo.uiWrittenSize      : 0x00000000
[    2.004579 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stPkgInfo.szPackagePath      : /cache/fota/dlpkgfile
[    2.004594 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stCommand.enCommand          : 0x00000000
[    2.004609 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : uiBackupBufferAddr           : 0x00000000
[    2.004624 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : uiLanguage                   : 0x00000021
[    2.004639 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stDebug.uiResetCount         : 0x00000064
[    2.004654 / 09-28 07:36:23.370]  (2)[1:init][FOTA] : stDebug.uiRetryCount         : 0x00000010
[    2.060401 / 09-28 07:36:23.420]  (2)[1:init]init: /dev/hw_random not found
[    2.062252 / 09-28 07:36:23.430]  (2)[1:init][XLOG_INFO][USB]enable_store: device_attr->attr.name: enable
[    2.062263 / 09-28 07:36:23.430]  (2)[1:init]android_usb: already disabled
[    2.062309 / 09-28 07:36:23.430]  (2)[124:kworker/2:1][XLOG_INFO][USB]android_work: is_hwconnected=1 
[    2.062321 / 09-28 07:36:23.430]  (2)[124:kworker/2:1][XLOG_INFO][USB]android_work: did not send uevent (0 0   (null))
[    2.062581 / 09-28 07:36:23.430]  (2)[1:init][XLOG_INFO][USB]request function list: mtp,adb
[    2.062592 / 09-28 07:36:23.430]  (2)[1:init][XLOG_INFO][USB]functions_store: 
[    2.062602 / 09-28 07:36:23.430]  (2)[1:init][XLOG_INFO][USB]functions_store: name = mtp,adb 
[    2.062623 / 09-28 07:36:23.430]  (2)[1:init][XLOG_INFO][USB]android_enable_function: name = mtp, f->name=ffs 
[    2.062634 / 09-28 07:36:23.430]  (2)[1:init][XLOG_INFO][USB]android_enable_function: name = mtp, f->name=adb 
[    2.062644 / 09-28 07:36:23.430]  (2)[1:init][XLOG_INFO][USB]android_enable_function: name = mtp, f->name=acm 
[    2.062654 / 09-28 07:36:23.430]  (2)[1:init][XLOG_INFO][USB]android_enable_function: name = mtp, f->name=laf 
[    2.062664 / 09-28 07:36:23.430]  (2)[1:init][XLOG_INFO][USB]android_enable_function: name = mtp, f->name=mtp 
[    2.062674 / 09-28 07:36:23.430]  (2)[1:init]func:mtp is enabled.
[    2.062693 / 09-28 07:36:23.430]  (2)[1:init][XLOG_INFO][USB]android_enable_function: name = ffs, f->name=ffs 
[    2.062702 / 09-28 07:36:23.430]  (2)[1:init]func:ffs is enabled.
[    2.063009 / 09-28 07:36:23.430]  (2)[1:init]init: [LGE][SBP] lge_read_property_persist_cache pull, strKey : persist.sys.cupss.default, strValue :  
[    2.063042 / 09-28 07:36:23.430]  (2)[1:init]init: [LGE][SBP] lge_read_property_persist_cache pull, strKey : persist.sys.cupss.integration, strValue :  
[    2.063103 / 09-28 07:36:23.430]  (2)[1:init]init: Unable to open persistent property directory /persist-lg/lg_persist_property errno: 2
[    2.063126 / 09-28 07:36:23.430]  (2)[1:init]init: Unable to open persistent property directory /data/property errno: 2
[    2.063148 / 09-28 07:36:23.430]  (2)[1:init]init: Unable to open persistent property directory /persist-lg/property errno: 2
[    2.063271 / 09-28 07:36:23.430]  (2)[1:init]init: Unable to open persistent property directory /persist-lg/lg_persist_property errno: 2
[    2.063294 / 09-28 07:36:23.430]  (2)[1:init]init: Unable to open persistent property directory /data/property errno: 2
[    2.063316 / 09-28 07:36:23.430]  (2)[1:init]init: Unable to open persistent property directory /persist-lg/property errno: 2
[    2.065175 / 09-28 07:36:23.430]  (2)[1:init]init: Warning!  Service recovery needs a SELinux domain defined; it can cause CTS FAIL!! please fix!!!
[    2.065618 / 09-28 07:36:23.430]  (2)[1:init][XLOG_INFO][USB]enable_store: device_attr->attr.name: enable
[    2.065628 / 09-28 07:36:23.430]  (2)[1:init]android_usb: already disabled
[    2.065671 / 09-28 07:36:23.430]  (2)[124:kworker/2:1][XLOG_INFO][USB]android_work: is_hwconnected=1 
[    2.065687 / 09-28 07:36:23.430]  (2)[124:kworker/2:1][XLOG_INFO][USB]android_work: did not send uevent (0 0   (null))
[    2.066064 / 09-28 07:36:23.430]  (2)[1:init][XLOG_INFO][USB]enable_store: device_attr->attr.name: enable
[    2.066076 / 09-28 07:36:23.430]  (2)[1:init][XLOG_INFO][USB]enable function 'mtp'/c0c7bd1c
[    2.066086 / 09-28 07:36:23.430]  (2)[1:init][XLOG_INFO][USB]enable function 'ffs'/c0c7b560
[    2.066099 / 09-28 07:36:23.430]  (2)[1:init][XLOG_INFO][USB]enable_store: enable 0->1 case, device_desc.idVendor = 0x18d1, device_desc.idProduct = 0x4ee2
[    2.066139 / 09-28 07:36:23.430]  (2)[124:kworker/2:1][XLOG_INFO][USB]android_work: is_hwconnected=1 
[    2.066152 / 09-28 07:36:23.430]  (2)[124:kworker/2:1][XLOG_INFO][USB]android_work: did not send uevent (0 0   (null))
[    2.068117 / 09-28 07:36:23.430] [XLOG_INFO][USB]android_bind_enabled_functions: 
[    2.068131 / 09-28 07:36:23.430]  (3)[151:adbd][XLOG_INFO][USB]bind_config function 'mtp'/c0c7bd1c
[    2.068191 / 09-28 07:36:23.430]  (3)[151:adbd][XLOG_INFO][USB]bind_config function 'ffs'/c0c7b560
[    2.081925 / 09-28 07:36:23.450]  (1)[149:recovery][LED]Set Backlight directly 255 at time 4294937504
[    2.081942 / 09-28 07:36:23.450]  (1)[149:recovery]brightness_set_cust:backlight control by LCM
[    2.081964 / 09-28 07:36:23.450] [LM3639] level = 255[lm3639]-OVP[0x73]
[    2.262075 / 09-28 07:36:23.630]  (1)[118:bat_thread_kthr]LGE charging scenario : Change state 0 -> 0(0-0), temp=30, volt=4112, BTM=0, charger=1
[    2.345158 / 09-28 07:36:23.710] -(0)[0:swapper/0][XLOG_VERBOSE][USB]android_setup
[    2.345206 / 09-28 07:36:23.710]  (0)[144:kworker/0:1][XLOG_INFO][USB]android_work: is_hwconnected=1 
[    2.345258 / 09-28 07:36:23.710]  (0)[144:kworker/0:1][XLOG_INFO][USB]android_work: sent uevent USB_STATE=CONNECTED
[    2.349835 / 09-28 07:36:23.710] -(0)[0:swapper/0][XLOG_VERBOSE][USB]android_disconnect: 
[    2.349850 / 09-28 07:36:23.710] -(0)[0:swapper/0][XLOG_VERBOSE][USB]android_disconnect: dev->connected = 0 
[    2.349877 / 09-28 07:36:23.710]  (0)[144:kworker/0:1][XLOG_INFO][USB]android_work: is_hwconnected=1 
[    2.349913 / 09-28 07:36:23.710]  (0)[144:kworker/0:1][XLOG_INFO][USB]android_work: sent uevent USB_STATE=DISCONNECTED
[    2.378080 / 09-28 07:36:23.740]  (1)[118:bat_thread_kthr]LGE charging scenario : Change state 0 -> 0(0-0), temp=30, volt=4148, BTM=0, charger=1
[    2.477141 / 09-28 07:36:23.840] -(0)[0:swapper/0][XLOG_VERBOSE][USB]android_setup
[    2.477189 / 09-28 07:36:23.840]  (0)[144:kworker/0:1][XLOG_INFO][USB]android_work: is_hwconnected=1 
[    2.477240 / 09-28 07:36:23.840]  (0)[144:kworker/0:1][XLOG_INFO][USB]android_work: sent uevent USB_STATE=CONNECTED
[    2.477329 / 09-28 07:36:23.840] -(0)[0:swapper/0][XLOG_VERBOSE][USB]android_setup
[    2.477447 / 09-28 07:36:23.840] -(0)[0:swapper/0][XLOG_VERBOSE][USB]android_setup
[    2.477571 / 09-28 07:36:23.840] -(0)[0:swapper/0][XLOG_VERBOSE][USB]android_setup
[    2.477698 / 09-28 07:36:23.840] -(0)[0:swapper/0][XLOG_VERBOSE][USB]android_setup
[    2.477821 / 09-28 07:36:23.840] -(0)[0:swapper/0][XLOG_VERBOSE][USB]android_setup
[    2.477946 / 09-28 07:36:23.840] -(0)[0:swapper/0][XLOG_VERBOSE][USB]android_setup
[    2.478225 / 09-28 07:36:23.840] -(0)[0:swapper/0][XLOG_VERBOSE][USB]android_setup
[    2.478533 / 09-28 07:36:23.840]  (0)[144:kworker/0:1][XLOG_INFO][USB]android_work: is_hwconnected=1 
[    2.478568 / 09-28 07:36:23.840]  (0)[144:kworker/0:1][XLOG_INFO][USB]android_work: sent uevent USB_STATE=CONFIGURED
[    2.478594 / 09-28 07:36:23.840] -(0)[0:swapper/0][XLOG_VERBOSE][USB]android_setup
[    2.478806 / 09-28 07:36:23.840] -(0)[0:swapper/0][XLOG_VERBOSE][USB]android_setup
[    2.505733 / 09-28 07:36:23.870]  (1)[118:bat_thread_kthr]LGE charging scenario : Change state 0 -> 0(0-0), temp=30, volt=4150, BTM=0, charger=1
[    3.020415 / 09-28 07:36:24.380] -(0)[0:swapper/0][XLOG_VERBOSE][USB]android_setup
[    3.020646 / 09-28 07:36:24.380] -(0)[0:swapper/0][XLOG_VERBOSE][USB]android_setup
[    3.091411 / 09-28 07:36:24.460]  (1)[136:read_poweroff_l]emmc expd not ready!
[    3.113575 / 09-28 07:36:24.480]  (1)[136:read_poweroff_l]ram_console: create last_kmsg2 ok.
[   12.510220 / 09-28 07:36:33.870]  (2)[118:bat_thread_kthr]LGE charging scenario : Change state 0 -> 0(0-0), temp=30, volt=4162, BTM=0, charger=1
[   13.662301 / 09-28 07:36:35.030]  (1)[126:kworker/u8:4][TOUCH][L][COMMON] [FINGER] PRESS<0> x = 569, y = 1044, z= 40
[   13.782275 / 09-28 07:36:35.150]  (1)[126:kworker/u8:4][TOUCH][L][COMMON] [FINGER] RELEASE<0>
[   16.731368 / 09-28 07:36:38.090]  (1)[126:kworker/u8:4][TOUCH][L][COMMON] [FINGER] PRESS<0> x = 230, y = 345, z= 43
[   16.790760 / 09-28 07:36:38.150]  (2)[126:kworker/u8:4][TOUCH][L][COMMON] [FINGER] RELEASE<0>
[   16.924434 / 09-28 07:36:38.290]  (2)[149:recovery][LED]PMIC#1:0
[   17.162886 / 09-28 07:36:38.530]  (3)[149:recovery][M4U] m4u_larb0_disable, refcnt: 1, DDP
[   17.162953 / 09-28 07:36:38.530] powerkey_kick:mtkfb_early_suspend:2,2
[DISPCHECK]primary_display_suspend end
[   17.163054 / 09-28 07:36:38.530]  (3)[149:recovery][gps]null pointer!!
[   17.163182 / 09-28 07:36:38.530]  (0)[149:recovery]Restarting system.


